codepoint,imagepath,rawcode,desc
U+0915 U+0901,image/0915-0901.jpg,कँ,KA + CHANDRABINDU
U+0915 U+0941,image/0915-0941.jpg,कु,KA + U
U+0915 U+0942,image/0915-0942.jpg,कू,KA + UU
U+0915 U+0943,image/0915-0943.jpg,कृ,KA + VOCALIC R
U+0915 U+0944,image/0915-0944.jpg,कॄ,KA + VOCALIC RR
U+0915 U+0945,image/0915-0945.jpg,कॅ,KA + CANDRA E
U+0915 U+0946,image/0915-0946.jpg,कॆ,KA + SHORT E
U+0915 U+0947,image/0915-0947.jpg,के,KA + E
U+0915 U+0948,image/0915-0948.jpg,कै,KA + AI
U+0915 U+094D,image/0915-094D.jpg,क्,KA + HALANT
U+0916 U+0901,image/0916-0901.jpg,खँ,KHA + CHANDRABINDU
U+0916 U+0941,image/0916-0941.jpg,खु,KHA + U
U+0916 U+0942,image/0916-0942.jpg,खू,KHA + UU
U+0916 U+0943,image/0916-0943.jpg,खृ,KHA + VOCALIC R
U+0916 U+0944,image/0916-0944.jpg,खॄ,KHA + VOCALIC RR
U+0916 U+0945,image/0916-0945.jpg,खॅ,KHA + CANDRA E
U+0916 U+0946,image/0916-0946.jpg,खॆ,KHA + SHORT E
U+0916 U+0947,image/0916-0947.jpg,खे,KHA + E
U+0916 U+0948,image/0916-0948.jpg,खै,KHA + AI
U+0916 U+094D,image/0916-094D.jpg,ख्,KHA + HALANT
U+0917 U+0901,image/0917-0901.jpg,गँ,GA + CHANDRABINDU
U+0917 U+0941,image/0917-0941.jpg,गु,GA + U
U+0917 U+0942,image/0917-0942.jpg,गू,GA + UU
U+0917 U+0943,image/0917-0943.jpg,गृ,GA + VOCALIC R
U+0917 U+0944,image/0917-0944.jpg,गॄ,GA + VOCALIC RR
U+0917 U+0945,image/0917-0945.jpg,गॅ,GA + CANDRA E
U+0917 U+0946,image/0917-0946.jpg,गॆ,GA + SHORT E
U+0917 U+0947,image/0917-0947.jpg,गे,GA + E
U+0917 U+0948,image/0917-0948.jpg,गै,GA + AI
U+0917 U+094D,image/0917-094D.jpg,ग्,GA + HALANT
U+0918 U+0901,image/0918-0901.jpg,घँ,GHA + CHANDRABINDU
U+0918 U+0941,image/0918-0941.jpg,घु,GHA + U
U+0918 U+0942,image/0918-0942.jpg,घू,GHA + UU
U+0918 U+0943,image/0918-0943.jpg,घृ,GHA + VOCALIC R
U+0918 U+0944,image/0918-0944.jpg,घॄ,GHA + VOCALIC RR
U+0918 U+0945,image/0918-0945.jpg,घॅ,GHA + CANDRA E
U+0918 U+0946,image/0918-0946.jpg,घॆ,GHA + SHORT E
U+0918 U+0947,image/0918-0947.jpg,घे,GHA + E
U+0918 U+0948,image/0918-0948.jpg,घै,GHA + AI
U+0918 U+094D,image/0918-094D.jpg,घ्,GHA + HALANT
U+0919 U+0901,image/0919-0901.jpg,ङँ,NGA + CHANDRABINDU
U+0919 U+0941,image/0919-0941.jpg,ङु,NGA + U
U+0919 U+0942,image/0919-0942.jpg,ङू,NGA + UU
U+0919 U+0943,image/0919-0943.jpg,ङृ,NGA + VOCALIC R
U+0919 U+0944,image/0919-0944.jpg,ङॄ,NGA + VOCALIC RR
U+0919 U+0945,image/0919-0945.jpg,ङॅ,NGA + CANDRA E
U+0919 U+0946,image/0919-0946.jpg,ङॆ,NGA + SHORT E
U+0919 U+0947,image/0919-0947.jpg,ङे,NGA + E
U+0919 U+0948,image/0919-0948.jpg,ङै,NGA + AI
U+0919 U+094D,image/0919-094D.jpg,ङ्,NGA + HALANT
U+091A U+0901,image/091A-0901.jpg,चँ,CA + CHANDRABINDU
U+091A U+0941,image/091A-0941.jpg,चु,CA + U
U+091A U+0942,image/091A-0942.jpg,चू,CA + UU
U+091A U+0943,image/091A-0943.jpg,चृ,CA + VOCALIC R
U+091A U+0944,image/091A-0944.jpg,चॄ,CA + VOCALIC RR
U+091A U+0945,image/091A-0945.jpg,चॅ,CA + CANDRA E
U+091A U+0946,image/091A-0946.jpg,चॆ,CA + SHORT E
U+091A U+0947,image/091A-0947.jpg,चे,CA + E
U+091A U+0948,image/091A-0948.jpg,चै,CA + AI
U+091A U+094D,image/091A-094D.jpg,च्,CA + HALANT
U+091B U+0901,image/091B-0901.jpg,छँ,CHA + CHANDRABINDU
U+091B U+0941,image/091B-0941.jpg,छु,CHA + U
U+091B U+0942,image/091B-0942.jpg,छू,CHA + UU
U+091B U+0943,image/091B-0943.jpg,छृ,CHA + VOCALIC R
U+091B U+0944,image/091B-0944.jpg,छॄ,CHA + VOCALIC RR
U+091B U+0945,image/091B-0945.jpg,छॅ,CHA + CANDRA E
U+091B U+0946,image/091B-0946.jpg,छॆ,CHA + SHORT E
U+091B U+0947,image/091B-0947.jpg,छे,CHA + E
U+091B U+0948,image/091B-0948.jpg,छै,CHA + AI
U+091B U+094D,image/091B-094D.jpg,छ्,CHA + HALANT
U+091C U+0901,image/091C-0901.jpg,जँ,JA + CHANDRABINDU
U+091C U+0941,image/091C-0941.jpg,जु,JA + U
U+091C U+0942,image/091C-0942.jpg,जू,JA + UU
U+091C U+0943,image/091C-0943.jpg,जृ,JA + VOCALIC R
U+091C U+0944,image/091C-0944.jpg,जॄ,JA + VOCALIC RR
U+091C U+0945,image/091C-0945.jpg,जॅ,JA + CANDRA E
U+091C U+0946,image/091C-0946.jpg,जॆ,JA + SHORT E
U+091C U+0947,image/091C-0947.jpg,जे,JA + E
U+091C U+0948,image/091C-0948.jpg,जै,JA + AI
U+091C U+094D,image/091C-094D.jpg,ज्,JA + HALANT
U+091D U+0901,image/091D-0901.jpg,झँ,JHA + CHANDRABINDU
U+091D U+0941,image/091D-0941.jpg,झु,JHA + U
U+091D U+0942,image/091D-0942.jpg,झू,JHA + UU
U+091D U+0943,image/091D-0943.jpg,झृ,JHA + VOCALIC R
U+091D U+0944,image/091D-0944.jpg,झॄ,JHA + VOCALIC RR
U+091D U+0945,image/091D-0945.jpg,झॅ,JHA + CANDRA E
U+091D U+0946,image/091D-0946.jpg,झॆ,JHA + SHORT E
U+091D U+0947,image/091D-0947.jpg,झे,JHA + E
U+091D U+0948,image/091D-0948.jpg,झै,JHA + AI
U+091D U+094D,image/091D-094D.jpg,झ्,JHA + HALANT
U+091E U+0901,image/091E-0901.jpg,ञँ,NYA + CHANDRABINDU
U+091E U+0941,image/091E-0941.jpg,ञु,NYA + U
U+091E U+0942,image/091E-0942.jpg,ञू,NYA + UU
U+091E U+0943,image/091E-0943.jpg,ञृ,NYA + VOCALIC R
U+091E U+0944,image/091E-0944.jpg,ञॄ,NYA + VOCALIC RR
U+091E U+0945,image/091E-0945.jpg,ञॅ,NYA + CANDRA E
U+091E U+0946,image/091E-0946.jpg,ञॆ,NYA + SHORT E
U+091E U+0947,image/091E-0947.jpg,ञे,NYA + E
U+091E U+0948,image/091E-0948.jpg,ञै,NYA + AI
U+091E U+094D,image/091E-094D.jpg,ञ्,NYA + HALANT
U+091F U+0901,image/091F-0901.jpg,टँ,TTA + CHANDRABINDU
U+091F U+0941,image/091F-0941.jpg,टु,TTA + U
U+091F U+0942,image/091F-0942.jpg,टू,TTA + UU
U+091F U+0943,image/091F-0943.jpg,टृ,TTA + VOCALIC R
U+091F U+0944,image/091F-0944.jpg,टॄ,TTA + VOCALIC RR
U+091F U+0945,image/091F-0945.jpg,टॅ,TTA + CANDRA E
U+091F U+0946,image/091F-0946.jpg,टॆ,TTA + SHORT E
U+091F U+0947,image/091F-0947.jpg,टे,TTA + E
U+091F U+0948,image/091F-0948.jpg,टै,TTA + AI
U+091F U+094D,image/091F-094D.jpg,ट्,TTA + HALANT
U+0920 U+0901,image/0920-0901.jpg,ठँ,TTHA + CHANDRABINDU
U+0920 U+0941,image/0920-0941.jpg,ठु,TTHA + U
