codepoint,imagepath,rawcode,desc
U+0901,image/0901.jpg,ँ,DEVNAGARI SIGN CHANDRABINDU
U+0902,image/0902.jpg,ं,DEVNAGARI SIGN ANUSVARA
U+0903,image/0903.jpg,ः,DEVNAGARI SIGN VISARGA
U+0905,image/0905.jpg,अ,DEVNAGARI LETTER A
U+0906,image/0906.jpg,आ,DEVNAGARI LETTER AA
U+0907,image/0907.jpg,इ,DEVNAGARI LETTER I
U+0908,image/0908.jpg,ई,DEVNAGARI LETTER II
U+0909,image/0909.jpg,उ,DEVNAGARI LETTER U
U+090A,image/090A.jpg,ऊ,DEVNAGARI LETTER UU
U+090B,image/090B.jpg,ऋ,DEVNAGARI LETTER VOCALIC R
U+090C,image/090C.jpg,ऌ,DEVNAGARI LETTER VOCALIC L
U+090D,image/090D.jpg,ऍ,DEVNAGARI LETTER CANDRA E
U+090E,image/090E.jpg,ऎ,DEVNAGARI LETTER SHORT E
U+090F,image/090F.jpg,ए,DEVNAGARI LETTER E
U+0910,image/0910.jpg,ऐ,DEVNAGARI LETTER AI
U+0911,image/0911.jpg,ऑ,DEVNAGARI LETTER CANDRA O
U+0912,image/0912.jpg,ऒ,DEVNAGARI LETTER SHORTO
U+0913,image/0913.jpg,ओ,DEVNAGARI LETTER O
U+0914,image/0914.jpg,औ,DEVNAGARI LETTER AU
U+0915,image/0915.jpg,क,DEVNAGARI LETTER KA
U+0916,image/0916.jpg,ख,DEVNAGARI LETTER KHA
U+0917,image/0917.jpg,ग,DEVNAGARI LETTER GA
U+0918,image/0918.jpg,घ,DEVNAGARI LETTER GHA
U+0919,image/0919.jpg,ङ,DEVNAGARI LETTER NGA
U+091A,image/091A.jpg,च,DEVNAGARI LETTER CA
U+091B,image/091B.jpg,छ,DEVNAGARI LETTER CHA
U+091C,image/091C.jpg,ज,DEVNAGARI LETTER JA
U+091D,image/091D.jpg,झ,DEVNAGARI LETTER JHA
U+091E,image/091E.jpg,ञ,DEVNAGARI LETTER NYA
U+091F,image/091F.jpg,ट,DEVNAGARI LETTER TTA
U+0920,image/0920.jpg,ठ,DEVNAGARI LETTER TTHA
